spp,date,mean
PAGP,79-09,1
LOXO,78-04,1
LOXO,78-05,3
LOXO,78-08,1.5
LOXO,78-11,3
LOXO,78-12,1
LOXO,79-01,3
LOXO,79-04,2
LOXO,79-05,1
LOXO,79-07,1
LOXO,80-01,4
LOXO,80-06,1
CTHR,78-05,1
KAPH,78-09,1
KAPH,79-01,2
KAPH,79-05,3
KAPH,79-06,1
KAPH,79-08,2
KAPH,80-02,3
KAPH,80-03,1
KAPH,80-11,1
KAPH,81-01,2
KAPH,81-03,2
KAPH,81-05,4
KAPH,81-06,2
KAPH,81-07,1
KAPH,81-09,1
KAPH,81-12,5
MAFR,79-02,1
SPDO,79-05,1
SPDO,79-08,1
SPDO,80-02,2
SPDO,80-10,1
COMY,79-05,2
COMY,79-08,1
COMY,79-10,3
COMY,80-04,3
AMAU,79-09,4
